    109383630445BATID BOSCH MSM-62PE                                              27,96      ,00    44,90& 2010 11 20A
    109883630460CAFET BOSCH TKA-1401V                                             16,91      ,00    27,00  2010 11 20A
    110283630505ROBOT BOSCH MUM-86A1                                             407,35      ,00   659,00  2010 11 20A
    111683630585BASCULA BOSCH PPW-4200                                            29,25      ,00    47,00  2010 11 20A
    111783630585BASCULA BOSCH PPW-3120                                            32,34      ,00    52,00  2010 11 20A
    111883630585BASCULA BOSCH PPW-3100                                            22,46      ,00    34,90  2010 11 20A
    112483630640ALMO BOSCH PFP-5030                                               33,59      ,00    54,00  2010 11 20A
    112581480405ASPIR LG VB-2717 NRTR         (EX)                                39,29    65,00      ,00& 2010 11 20A
    114183340619CARCASA ACUATICA CASIO Z75/77 EWC-11                              68,62      ,00   139,00  2010 11 20A
    114983340619BATERIA CASIO NP-60DCA                                            19,34      ,00    29,90& 2010 11 20A
    115083340619BATERIA CASIO NP-20 (DBD)                                         18,76      ,00    29,00  2010 11 20A
    116382410030FRIGC SIEMENS KG-39 FP 71     (VITAFRESCH)                       973,22  1534,00      ,00  2010 11 20A
    116482410030FRIGC SIEMENS KG-39 FP 08     (VITAFRESCH)                       696,83  1068,00      ,00  2010 11 20A
    117182410050LAVAF SIEMENS WM-12 S 33 XEE                                     627,02  1015,00      ,00  2010 11 20A
    117382410050LAVAF SIEMENS WM-12 S 321 EE                                     519,56   799,00      ,00  2010 11 20A
    118190110505MAQ COC KENWOOD FP-190        (PROCESADOR)                        38,41      ,00    70,00  2010 11 20A
    118490110586HERVIDOR KENWOOD JK-455                                           43,87      ,00    80,00  2010 11 20A
    118990110590ACC. KENWOOD LICUADORA AT-641                                     49,07      ,00    90,00  2010 11 20A
    119280550640CALIENTA CAMAS DAGA CMN 220V                                      68,36      ,00   107,00& 2010 11 20A
    119380550640MANTA DAGA INDIVIDUAL E-220V                                      55,36      ,00    86,00& 2010 11 20A
    119782820630JGO SONY (PSP) PLAYCHAPAS     (9738657)                           19,65      ,00    29,90& 2010 11 20A
    120180550640MANTA DAGA MATRIMONIO N-220V                                      98,60      ,00   153,00& 2010 11 20A
    120380550640ALMO DAGA N-4 220V                                                40,98      ,00    64,00& 2010 11 20A
    120480550640ALMO DAGA E-220V                                                  21,77      ,00    34,00& 2010 11 20A
    121380770005VINOTECA FAGOR SOWINE                                            260,23      ,00   399,00  2010 11 20A
    121782890030FRIGC BOSCH KGF-39P71                                            926,92      ,00  1417,00  2010 11 20A
    121982890030FRIGC BOSCH KGN-49A73                                            756,63      ,00  1159,00& 2010 11 20A
    124480680080LAVJS EDESA PLATINUM -V021 S  (EX)                               209,06   299,00      ,00& 2010 11 20A
    125582130430AFEIT PHILIPS HQ-6940/16                                          32,08      ,00    51,99& 2010 11 20A
    126182130430AFEIT PHILIPS HQ-7360/17                                          63,35      ,00   102,99  2010 11 20A
    126282130430AFEIT PHILIPS HQ-7340/17                                          57,23      ,00    92,99& 2010 11 20A
    126382130430AFEIT PHILIPS HQ-7300/17                                          51,08      ,00    82,99& 2010 11 20A
    126482130430AFEIT PHILIPS HQ-6990/16                                          41,29      ,00    66,99& 2010 11 20A
    126682130437BARBERO PHILIPS TT-2030       (/10/36) BODYGROOM                  32,09      ,00    51,99& 2010 11 20A
    127982130443CENTRAL DE PLANCHADO PHILIPS  GC-6430/02                          85,38      ,00   132,99& 2010 11 20A
    129482130495GRILL PHILIPS HD-4419/20                                          49,28      ,00    79,99  2010 11 20A
    129582130495GRILL PHILIPS HD-4418/20      (PR)                                43,14      ,00    69,99  2010 11 20A
    129882130510PLANCHA PELO PHILIPS          HP-4666/00                          44,34      ,00    71,00& 2010 11 20A
    130182130583CORTAPELO PHILIPS QC-5045/00                                      25,96      ,00    41,99  2010 11 20A
    130282130590COC VAPOR PHILIPS HD-9140/90                                      51,07      ,00    82,99  2010 11 20A
    130682130590RECAMBI CEPILLO DENTAL PHILIPSHX-2013/30                            ,00      ,00      ,00  2010 11 20A
    130782130590RECAMBI CEPILLO DENTAL PHILIPSHX-2014/30                          11,96      ,00    19,49  2010 11 20A
    134086900306REPRODUCTOR DVD SUNSTECH      DVP-MX 750                          29,02      ,00    44,99  2010 11 20A
    134386900341MAGNET SUNSTECH ICR-350                                           31,86      ,00    49,99  2010 11 20A
    134486900341MAGNET SUNSTECH ICR-450                                           35,09      ,00    54,99  2010 11 20A
    134686900341MAGNET SUNSTECH ICR-650                                           44,76      ,00    69,99  2010 11 20A
    134786900370RADIO SUNSTECH RPR-D3000                                          27,57      ,00    44,99  2010 11 20A
    134886900380RADIO REL SUNSTECH FRL-50                                         12,89      ,00    19,99  2010 11 20A
    134986900380RADIO REL SUNSTECH FRA-25                                         12,89      ,00    19,99  2010 11 20A
    135086900380RADIO REL SUNSTECH FRA-15                                          9,67      ,00    14,99  2010 11 20A
    135186900530RELOJ SUNSTECH CK-10                                               5,16      ,00     7,99  2010 11 20A
    135380750070SECADORA FAGOR SF-72 CBE                                         345,03   535,00      ,00  2010 11 20A
    135580750070SECADORA FAGOR CP-285                                            827,67  1285,00      ,00  2010 11 20A
    135680750070SECADORA FAGOR CPE-285                                           724,70  1125,00      ,00  2010 11 20A
    135880750070SECADORA FAGOR 1SF-84 CELX                                       454,42   705,00      ,00  2010 11 20A
    136180630103HORNO DELONGHI EO-420                                             51,71      ,00    80,00  2010 11 20A
    136280630465CAFET DELONGHI EC-145                                             65,66      ,00   104,00  2010 11 20A
    136380630468CAFET DELONGHI NESPRESSO      EN-690 T                           285,76      ,00   449,00& 2010 11 20A
    136684750105MICRON ORBEGOZO MIG-2016      (INOX)                              55,18      ,00    92,00& 2010 11 20A
    136782880440PLANC POLTI STIRO PRO NO VOLT (PFEU0013)                          50,26      ,00    75,90  2010 11 20A
    136882880584TABLA PLANCHAR POLTI          PROFESIONAL (FPAS0038)              79,08      ,00    90,90  2010 11 20A
    136983870590RECIPIENTE CUADRADO ALFA 7978 (PARA AROME Y NATURE)               10,73      ,00    17,50  2010 11 20A
    137083870590RECIPIENTE REDONDO ALFA 7977  (PARA AROME Y NATURE)               10,27      ,00    16,75  2010 11 20A
    137183870590KIT 3 TAPONES BOTELLA ALFA    7979 (PARA AROME Y NATURE)          10,38      ,00    16,95  2010 11 20A
    137383870590KIT TARROS ALFA 7981          (PARA TEMPO Y FRESH)                11,34      ,00    18,50  2010 11 20A
    137483870590CONEXION TARRO-MAQ VACIO ALFA 7982 (PARA TEMPO Y FRESH)            3,84      ,00     6,25  2010 11 20A
    138480300587CONJUNTO DENTAL BRAUN OBD12013VITALITY PREC.CLEAN (63713735)      13,50    20,00      ,00& 2010 11 20A
    138582050392TELEF PANASONIC KX-TG1311 SPH                                     16,40      ,00    23,35& 2010 11 20A
    138682050392TELEF PANASONIC KX-TG1311 SPR                                     16,40      ,00    23,35& 2010 11 20A
    138782050392TELEF PANASONIC KX-TG1312 SPH                                     30,62      ,00    44,95& 2010 11 20A
    138882050392TELEF PANASONIC KX-TG1312 SPR                                     30,62      ,00    44,95  2010 11 20A
    138982050392TELEF PANASONIC KX-TG1313 SPH                                     40,53      ,00    59,95& 2010 11 20A
    139082050392TELEF PANASONIC KX-TG8011 SPS                                     28,51      ,00    40,65& 2010 11 20A
    139381980605ORDENADOR PORTATIL PACKARD    BELL NEBO DOT (LU.B040B.016)          ,00      ,00      ,00  2010 11 20A
    139483180309BOBINA 10 DVD+R VERBATIM      4,7 GB (43498)                       7,12      ,00     9,99& 2010 11 20A
    139583180309BOBINA 10 DVD-R VERBATIM      4,7 GB (43523)                       7,21      ,00     9,99& 2010 11 20A
    139683180309BOBINA 25 DVD+R VERBATIM      4,7 GB (43500)                      17,38      ,00    22,99& 2010 11 20A
    139883180309BOBINA 10 DVD+RW VERBATIM     4,7 GB (43488)                      12,74      ,00    18,90& 2010 11 20A
    140183180617BOBINA 25 CD-R VERBATIM       (43432)(43710)                       8,03      ,00    12,90& 2010 11 20A
    140283180617BOBINA 50 CD-R VERBATIM       (43351)                             15,91      ,00    24,90& 2010 11 20A
    140780200050LAVAF BALAY 3TS-70102 A                                          272,63      ,00   409,00  2010 11 20A
    140880200105MICRON BALAY 3WGB-2534                                           240,15      ,00   365,00  2010 11 20A
    140980200105MICRON BALAY 3WGN-2534                                           240,15      ,00   365,00  2010 11 20A
    141080200105MICRON BALAY 3WGX-2534                                           265,13      ,00   399,00  2010 11 20A
    141180200160CAMP BALAY 3BC-8591                                              671,30      ,00  1026,00  2010 11 20A
    141280200160CAMP BALAY 3BI-795                                               340,15      ,00   519,00  2010 11 20A
    141380200160CAMP BALAY 3BI-798                                               400,97      ,00   609,00  2010 11 20A
    141581420615TONER NEGRO LEXMARK E250D     (E250A11E)                          71,29      ,00    95,00  2010 11 20A
    141682600270CAMARA SONY HDR-FX1000 E                                        2923,42      ,00  4070,00  2010 11 20A
    141983730293EQUIPO HOME CINEMA LG         HT-33 S                            156,57      ,00   219,00  2010 11 20A
    142082700405ASPIR TAURUS GOLF 2200 (NEW)  (948100)                            56,58      ,00    99,99& 2010 11 20A
    142182700405ASPIR TAURUS GOLF 2200 BAGLESS(NEW 948102)                        62,01      ,00   109,99& 2010 11 20A
    142382700405ASPIR TAURUS LIBERTY (ESCOBA) (948105)                            55,91      ,00    99,99  2010 11 20A
    142482700440PLANC TAURUS GEYSER GOLD 2500  (918703)                           28,11      ,00    46,99& 2010 11 20A
    142582700443CENTRAL DE PLANCHADO TAURUS   BRAVISSIMO 15 LUXE PRO(918673)      92,84      ,00   154,99& 2010 11 20A
    142682700447BATID TAURUS OPTIMA GLASS     (912393)                            39,59      ,00    62,99& 2010 11 20A
    142782700585BASCULA TAURUS PRAGA          (990307)                            22,04      ,00    34,99  2010 11 20A
    143682260590ACCESORIO SAECO FILTRO AGUA   INTENZA (BRITA)                      7,08      ,00    10,90& 2010 11 20A
    143982260649MAQUINA DE VACIO SAECO        MAGIC VAC GENIUS                      ,00      ,00      ,00  2010 11 20A
    145280870590BOLA DE LAVADO DI/4 ROBBY WASHAZUL (6MB)(LAVADORA)                12,94      ,00    19,90& 2010 11 20A
    145380870590SET DESAYUNO DI/4 (6999)                                          39,57      ,00    59,00  2010 11 20A
    147480300510PLANCHA PELO BRAUN ES-03      (75058632)(63553707)                54,04      ,00    85,00  2010 11 20A
    147680300587CONJUNTO DENTAL BRAUN DUO PRECCLEAN BRI (COLORS)(81264053)        20,21      ,00    31,00& 2010 11 20A
    147980300587CONJUNTO DENTAL BRAUN OBD12523VITALITY PREC. DLX (63713738)       21,35      ,00    33,00& 2010 11 20A
    148080300587IMPULSOR DENTAL BRAUN MD-19   ORAL JET (63724700)                 68,93      ,00   112,00& 2010 11 20A
    148180300590RECAMBIO CEPILLO DENTAL BRAUN EB 17-4/EB 18-1 (64704725)          11,42      ,00    18,60& 2010 11 20A
    148290540020FRIGC LIEBHERR                SBNES-3210-20001                  1583,93      ,00  2440,00  2010 11 20A
    148680300510MOLDEADOR BRAUN COLOUR EC-2   (75066993)(63552702)                35,72      ,00    56,00  2010 11 20A
    148880300590LAMINA BRAUN COMBI PACK 360   COMPLETE 8000 (65646761)            19,26      ,00    34,00  2010 11 20A
    148981890397TELEF NOKIA 7500 PRISM NEGRO  (EXCL)                              74,30      ,00   190,00& 2010 11 20A
    149081890397TELEF NOKIA 8800 SAPPHIRE ARTE(EXCL)                             948,62      ,00  1208,00  2010 11 20A
    150382700460CAFET TAURUS MODENA 4T (NEW)                                      18,32      ,00    26,99  2010 11 20A
    150582700460CAFET TAURUS MODENA 6T (NEW)                                      20,36      ,00    29,99  2010 11 20A
    151182700584TABLA DE PLANCHAR TAURUS      ARGENTA PLUS (NEW)                  45,15      ,00    71,99& 2010 11 20A
    151382700584TABLA DE PLANCHAR TAURUS      ARGENTA BLUE (NEW)                  28,85      ,00    45,99& 2010 11 20A
    151482700584TABLA DE PLANCHAR TAURUS      ARGENTA (NEW)                       37,63      ,00    59,99  2010 11 20A
    152182600306REPRODUCTOR SONY DVP-PR30 P                                       43,73      ,00    65,00  2010 11 20A
    152382600306REPRODUCTOR SONY DVP-PR30 L                                       43,73      ,00    65,00  2010 11 20A
    152582600367MP3 SONY NWZ-S638 FR                                             106,07      ,00      ,00  2010 11 20A
    153682600367MP3 SONY NWZ-S638 FS                                             106,07      ,00      ,00  2010 11 20A
    153782600367MP3 SONY NWZ-S639 FB                                             142,45      ,00      ,00  2010 11 20A
    153882600367MP3 SONY NWZ-S639 FR                                             142,45      ,00      ,00  2010 11 20A
    153980550640ALMO DAGA L-2 220V                                                30,53      ,00    47,00& 2010 11 20A
    154686900370RADIO SUNSTECH RPS-600 AZUL                                       10,95      ,00    16,99  2010 11 20A
    154880340610IMPRESORA LASER BROTHER       HL-2035                             59,86      ,00    79,00  2010 11 20A
    155580290070SECADORA AEG T-57860                                             404,05      ,00   619,00& 2010 11 20A
    155683300070SECADORA ZANUSSI ZTK-123                                         257,94   399,00      ,00& 2010 11 20A
    155781590630WINDOWS VISTA HOME PREMIUM    SP2 (66I-02171)                     76,67      ,00      ,00  2010 11 20A
    155883300020FRIG2 ZANUSSI ZRT-433 FW      (NOFROTS)                          394,04   585,00      ,00  2010 11 20A
    156280550640ALMO DAGA N-2 220V                                                28,21      ,00    44,95& 2010 11 20A
    156386850285TARJETA SANDISK MS DUO PRO 8GB(055442)                            21,63      ,00    34,00& 2010 11 20A
    156586850285TARJETA SANDISK MICRO MS 8GB  (090837)                            24,42      ,00    44,00  2010 11 20A
    157786540450EXPRIM PRINCESS (PS) 202000   LOTTE JUICER                        26,71      ,00    39,90& 2010 11 20A
    157986540493SANDWICHERA PRINCESS (PS)     122316 INDIVIDUAL                   13,71      ,00    20,90& 2010 11 20A
    158086540574PANIFICADORA PRINCESS (PS)    152000                             104,71      ,00   161,90  2010 11 20A
    159486900370RADIO SUNSTECH RPS-600 BLANCO                                     10,95      ,00    16,99  2010 11 20A
    159786900368REPRODUCTOR MP4 SUNSTECH      MINERVA 4GB                         28,65      ,00    44,99  2010 11 20A
